Submission ID,Respondent ID,Submitted at,Enter your age,Enter your Gender,Program of Study,Semester,Program/Course,Program Other Field,Prior Meditation Experience:,Frequency of Meditation:,Average Duration of each meditation session:,Type of Meditation practiced:,Would you do meditation voluntarily? By yourself ,PRE1. I feel stressed about academic deadlines and exams.,PRE2. I struggle to concentrate on studies due to stress.,PRE3. Meditation does not help reduce my stress.,PRE4. I often feel anxious before tests or assignments.,PRE5. I can manage multiple academic tasks without feeling overwhelmed.,PRE6. Stress negatively affects my academic performance.,PRE7. I feel calm and focused during study sessions.,POST1. I feel stressed about academic deadlines and exams.,POST2. I struggle to concentrate on studies due to stress.,POST3. Meditation does not help reduce my stress.,POST4. I often feel anxious before tests or assignments.,POST5. I can manage multiple academic tasks without feeling overwhelmed.,POST6. Stress negatively affects my academic performance.,POST7. I feel calm and focused during study sessions.,1. How did meditation influence your stress levels during academic tasks?,"2. Which meditation practices were most effective for you, and why?","3. Did meditation help improve focus, time management, or emotional stability? Please explain.",Consent Checkbox,Consent Checkbox (Yes),MISC1. Did meditation just work for you now?,Relaxing Recommendations,Relaxing Recommendations (Check me for relaxing recommendations ),"MISC2. How frequently do you experience physical symptoms of stress (e.g., headaches, muscle tension) related to academic work?","Describe your problem: (And don't worry, this is full private. We won't say anything, nor will we show any of the teachers)",MISC3. Do you use meditation to cope with exam/academic stress?,Do you do anything else than just meditation? ,What do you actually do to reduce stress during exam time?,So... what do you do to relax during exam time?,MISC4. Will you recommend meditation to your classmates or other students for stress relief?,MISC5. Do you have any other thoughts about meditation and college stress?,"MISC6. How did our form feel compared to the others? Good, not good, etc? Can you please rate it? where 0 is worst, and 10 is best.",Form Comparison: Unique or not.,"Form Comparison: Unique or not. (Yes, definitely unique. Want to see more like this. )","Form Comparison: Unique or not. (Unique, but I don't think I want to see more like this. I want the standard ones. )","Form Comparison: Unique or not. (I don't know, dude. It looks the same to me.)"
xXz9VqE,RGWZqXK,2025-10-09 8:53:00,18,Male,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,2,2,1,4,2,2,5,1,1,1,2,2,2,5,I will never be anxious about exams and feels an inner peace,Breathing and yoga,Managing my emotions and thoughts and inner feelings improving my flexibility and  time managing techniques,Yes,TRUE,4,,FALSE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,Yes,"Games, Music",,,Yes,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ZjeP97A,GxeoONe,2025-10-09 8:53:00,19,Male,Undergraduate (UG),1,BCA,,Extensive (daily practice),3-4 days/week,30-60 mins,Mindfullness/Awareness,Yes,3,2,4,4,3,3,2,2,2,2,3,4,2,2,It deals relax,Meditation for my full body,Yes. It is helpful  for my studies and other activities ,Yes,TRUE,5,,,Feel constantly tired.,,Yes,Games,,,Yes,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Y59Vj1z,9qN6ALE,2025-10-09 8:53:05,18,Female,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),Daily,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,5,5,2,4,3,5,3,4,4,2,4,3,4,3,It will make myself Clam and cool,Yoga,Yes,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,Music,,,Yes,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
xXz9VAk,gDbQ8yP,2025-10-09 8:53:13,18,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,5,4,2,5,1,5,2,4,4,2,4,4,5,4,It can help me stop overthinking for a while and re-gain my focus,Surya namaskara - because it helps the body and mind to refresh ,Yes. But for a short period of time,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Headaches.",,No,,Music,,Maybe?,"I just wish mediation would work for me
And college stress, gotta face it more calmly i believe ",9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
kdzObLZ,lba08oo,2025-10-09 8:53:15,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,4,2,3,2,3,2,4,2,2,3,2,3,3,4,Actually it did not do anything ,Nothing is most effective ,Ya little bit ,Yes,TRUE,1,,,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,Hobbies,,Maybe?,No,6,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
1ARGWjb,ob90L6b,2025-10-09 8:53:16,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,5,3,4,2,4,2,3,4,3,3,2,4,2,It was kind of helpful ,Stress relieving meditation ,Somewhat helpful ,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,Feel constantly tired.,,No,,Hang out with friends,,Maybe?,No,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
7RE4XG2,QKoxl2X,2025-10-09 8:53:23,18,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,3,3,1,4,3,3,2,3,3,1,4,3,3,3,Peace and calm and focus,Padmanaba,"Yes, to be focus and to be come out from the world and to enter into the new world ",Yes,TRUE,4,,,"Feel constantly tired., No symptoms, bro! All fine. , Dizziness?, Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Muscle tension, headache",Whenever I feel to read more or over reading or overthinking leads to headache and over work or over journey it fells muscle pain,Yes,Music,,,Yes,"To listen the music and to do some house chores , spending time with kids ",6,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
xXz9VOd,ODQjMDY,2025-10-09 8:53:31,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,3,4,1,4,5,4,4,3,3,2,3,5,5,4,It makes me feel calm and cool. ,"Pranayama, it increase concentration. ","Yes, It helps to focus on future goals, time management and emotional stability. ",Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,It makes me calm and cool. ,9,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
81rjN7l,aQOjqQX,2025-10-09 8:53:34,18,Male,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,3,3,2,4,2,3,4,2,2,2,4,2,2,4,It influenced in positive way,Pranayam because it reliefs ,Yes it helps to improve focus ,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,Yes,Music,,,Yes,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
xXz9Vkv,ODQjMQg,2025-10-09 8:53:49,19,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,4,3,3,3,3,3,4,3,3,3,2,4,3,Meditation reduce my stress by calm my mind,Breath meditation ,"Yes,by active mind",Yes,TRUE,1,,,Headaches.,,Yes,Music,,,Yes,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
A79Wroe,2EjbGj9,2025-10-09 8:53:50,18,Male,Undergraduate (UG),1,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,3,5,2,5,1,5,5,5,3,1,5,5,4,3,Better to concentrate on studies after doing meditation ,Every meditation feels effective for me because it increases concentration level,"Yes, doing meditation we only concentrate on our own things except we are not responding on other things ",Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,"Games, Hang out with friends",,,Yes,Nothing ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Y59VP5W,GxeoA6k,2025-10-09 8:54:04,18,Female,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),3-4 days/week,15-30 mins,Breath-based (Pranayama),No,4,4,4,4,4,4,4,2,2,2,2,3,3,4,"
Reduces anxiety and tension
",Breathing meditation ,Yes,Yes,TRUE,5,,,Feel constantly tired.,,Yes,Music,,,Yes,No,5,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
ODE8aQg,GxeoAKk,2025-10-09 8:54:13,18,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,15-30 mins,Breath-based (Pranayama),Yes,5,5,1,4,2,4,4,3,4,1,4,3,3,3,Sometimes doing mediation helps to relief stress ,"Breathing, it will feels relaxed","Yes, it will improve our concentration and make stress relief ",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. , Headaches., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,Music,,,Yes,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
5BVE8x6,68Dr8AB,2025-10-09 10:29:59,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,5-15 mins,Mindfullness/Awareness,No,4,4,3,4,2,4,1,4,4,3,4,2,4,2,Meditation is surely a strong key to stay healthy and concentrate but it very tough for me to do meditation cuz I think too much and I can't process it it distracts me,"Meditation which as physical activity too is very efficient for me I can't sit straight in meditation it is very tough, sitting in one place and doing it, it is for intermediate level whereas physical meditation is very good it exercises my body and I can have joy","No, meditation didn't help me much but if I practice surely it will work but I don't know the basics of it only so that's why",Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,Feel constantly tired.,,No,,"Hang out with friends, Games, Just roam around",,Maybe?,Thought is that physical meditation is lot better for beginner,6,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
XxQpbPz,Gxea51L,2025-10-13 15:16:28,20,Female,Undergraduate (UG),3,INTMCA,,Occasional (1–3 times/week),1-2 days/week,15-30 mins,Mindfullness/Awareness,Yes,4,4,2,3,3,3,2,4,4,2,3,3,3,2,Stress level was high due to over pressure.,Calm music with concentrated breathing exercise.,Yes.. sometimes it's easy to get control over mind easily because of practicing meditation.,Yes,TRUE,5,,FALSE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Headaches.",,Yes,"Hobbies, Music, Just roam around",,,Yes,It definitely helps to work calm and precise if worked on the practice regularly.,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ODE6W2K,44aRqxA,2025-10-13 15:41:28,20,Male,Undergraduate (UG),5,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mantra-based,Yes,3,4,1,4,3,3,3,5,4,1,4,3,3,3,By relaxing the anxiety ,Breathing meditation ,Yes it did help,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Headaches.",,No,,"Music, Hang out with friends, Games",,Yes,No ,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
gDzBjbK,yPXrkZ4,2025-10-13 15:46:27,19,Female,Undergraduate (UG),3,INTMCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mantra-based,Yes,3,2,2,4,2,4,3,3,2,4,4,2,3,3,"it reduces general stress , anxiety and improve focus and concentration",chanting mantra cause it makes me feel calm,"yes, it reduces general stress, anxiety and improve focus and concentration",Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Headaches.",,No,,Music,,Yes,"by meditation, it reduces general stress , anxiety and improve focus and concentration",9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
aQzW2N2,RGW1QBj,2025-10-13 16:12:25,18,Female,Undergraduate (UG),3,INTMCA,,Occasional (1–3 times/week),1-2 days/week,15-30 mins,Breath-based (Pranayama),Yes,5,3,1,5,4,5,1,3,3,1,3,3,4,4,It had effectively helped me by taking small steps of yoga and meditation.,Pranayama is the best practice which has really calmed me a lot.,Yes it has not only improved my flexibility but also memory.,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,Yes,Music,,,Yes,Stress has actually changed my lifestyle but practicing mediation has definitely coped me positively.,9,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
44OZP1o,gDbX2ON,2025-10-13 17:06:32,19,Male,Undergraduate (UG),3,BBA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,5,5,3,4,4,4,3,5,5,3,4,3,4,3,Not sure ,Nill,Nill,Yes,TRUE,1,,FALSE,Headaches.,,No,,"Games, Hang out with friends, Hobbies",,Maybe?,,7,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
LZO8vjl,Me1lo6A,2025-10-13 17:12:36,18,Male,Undergraduate (UG),3,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,2,3,2,2,3,4,4,2,3,2,2,4,3,4,Helps me concentrate more ,Breathing based meditation practice feels more effective for me ,Yes meditation helps me improve focus and time management as I can stay calm through meditation ,Yes,TRUE,1,,FALSE,"No symptoms, bro! All fine. ",,No,,"Just roam around, Music",,Maybe?,Meditation is overrated!,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
D4aLMN5,gDbXyM4,2025-10-13 17:24:02,20,Female,Undergraduate (UG),5,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,5,5,1,4,4,5,3,5,5,1,5,3,5,3,By calming the mind and body.,Pranayam ,"Yes, meditation can help improve focus, time management, and emotional stability through its effects on the brain and mental processes.",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,"Music, Games, Hang out with friends, Just roam around",,,Yes,Meditation helps improve the academic proficiency of the students by reducing the stress.,10,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
D4aLW5Z,lbajDXV,2025-10-13 17:34:30,22,Male,Postgraduate (PG),3,MCA,,None,0 days/week,Less than 5 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",No,2,2,3,1,4,2,2,2,2,3,1,4,3,4,I don’t meditate ,I don’t practice it.,"I have often heard about it, but i have not implemented so far. ",Yes,TRUE,1,,FALSE,"Feel constantly tired., Headaches.",,No,,"Music, Hobbies",,Maybe?,No,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
yP1O7bd,1AWYAPQ,2025-10-13 17:36:33,18,Male,Undergraduate (UG),1,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,4,5,3,4,4,5,3,4,5,3,4,4,5,3,I don't do meditation ,Breathing exercises ,Not much,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Y592eD5,81NY1Qo,2025-10-13 17:37:49,19,Female,Undergraduate (UG),5,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,3,2,3,4,5,5,4,4,2,3,2,4,4,It helps me focus and helps me concentrate on my studies a bit better,Breathing excise ,Yes it  helps in  improving our focus level and emotional well being by relaxing our brain ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,"Just roam around, Music",,Yes,I heard it's not effective but I believe in it ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
A79kMpN,KYp4VQD,2025-10-13 18:22:00,22,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,3,3,3,3,3,3,3,3,3,4,4,4,4,I get so relaxed and can concentrate more on academics ,Yes,"Yes, by meditation we can know ourselves more effectively.",Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Dizziness?, Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), No symptoms, bro! All fine. , Feel constantly tired., Headaches.",,Yes,,,,Yes,Meditation is will help us in all aspects .,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ODEOLYA,Y5jBWev,2025-10-14 1:45:48,20,Female,Undergraduate (UG),5,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,4,3,4,4,3,4,3,4,3,4,3,3,4,3,Idk,Idk,Idk,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,Music,,Maybe?,I don't really know ,5,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
RGjEbOK,ob9No2b,2025-10-14 2:30:22,19,Male,Undergraduate (UG),3,BCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Mindfullness/Awareness,No,3,2,2,4,4,3,3,3,3,2,4,3,4,3,Improved Focus and Concentration,"mindfulness meditation, particularly breath-focused sessions.","Yes, meditation helped improve all three areas—focus, time management, and emotional stability—but in different ways.",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,"Meditation isn't a cure-all, but it can be a powerful tool for managing the unique stress that comes with college life.",10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
WOqx1dk,LZDxY0y,2025-10-14 2:41:58,19,Female,Undergraduate (UG),3,INTMCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,4,4,4,2,4,3,3,3,3,3,3,3,4,Nothing improved,Mindfulness,Little it helped,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,"Music, Just roam around",,Maybe?,Nothing ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Ek6y6bX,2Ejdv9g,2025-10-14 2:47:04,20,Male,Undergraduate (UG),5,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,3,3,2,3,3,2,3,3,2,3,4,3,2,4,Awareness ,Pranayama,yaaa somewhat,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Games,,Maybe?,Medition will help to concentrate ,8,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
ODEWl4g,GxeEade,2025-10-14 5:43:28,19,Male,Undergraduate (UG),1,INTMCA,,None,1-2 days/week,Less than 5 mins,Mindfullness/Awareness,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Makes me calm!!,Inhaling and exhaling slowly.,Yes,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Just roam around,,Yes,Nope,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
pbzldOJ,Y5jBXQN,2025-10-14 5:43:57,18,Female,Undergraduate (UG),1,INTMCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,4,2,4,2,4,2,4,4,4,4,4,4,4,It helped me a lot,Breathing exercises,Yessss,Yes,TRUE,4,,,Headaches.,,Yes,Music,,,Maybe?,No,5,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
eqzdDBO,J91jb0K,2025-10-14 5:44:27,18,Female,Undergraduate (UG),1,INTMCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,5,5,1,5,1,5,1,5,5,1,5,1,1,1,Since its not being done in a daily basis ....I am not able to find any difference ,Breathing ,Since its not being done in a daily basis ....I am not able to find any difference ,Yes,TRUE,1,,,"Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,No,,Eating,,Maybe?, ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
MeV9DJg,A7rRNqD,2025-10-14 5:45:12,18,Male,Undergraduate (UG),1,INTMCA,,None,1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Increased concentration ,I close my eyes and focus on my breath and lay down ,"Yes, it increased my mental strength ",Yes,TRUE,3,,FALSE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,"Games, Hang out with friends",,Maybe?, ,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Ek645vL,Me1Zlrp,2025-10-14 5:45:53,19,Female,Undergraduate (UG),1,INTMCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,5,1,3,5,4,2,4,3,1,3,4,4,3,4,It makes me calm,Pranayama,Maybe,Yes,TRUE,3,,FALSE,Headaches.,,No,,Music,,Maybe?,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
vGzQrJX,44a0RPk,2025-10-14 5:46:00,19,Female,Undergraduate (UG),1,INTMCA,,Occasional (1–3 times/week),5-6 days/week,15-30 mins,Mantra-based,Yes,4,4,1,3,3,3,4,3,3,1,3,3,4,3,It helps to calm our mind,My mantra practice ,"Yes ..
Whenever I felt stress i used to chant ..
It used to give me peace mind ",Yes,TRUE,4,,FALSE,"Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,Yes,"Music, Games, Hobbies",,,Yes,No.. nothing like that,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
q4z2aJ8,1AW0zGQ,2025-10-14 5:46:07,18,Female,Undergraduate (UG),1,INTMCA,,Rare (less than once a week),0 days/week,5-15 mins,Breath-based (Pranayama),No,5,4,2,5,2,4,4,2,2,2,2,3,2,4,It helped me relax and slow down ,Breathing ,"Yes meditation helped me improve my focus and time management .
Emotional stability I'm still struggling with that ",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Dizziness?, Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,"Music, Just roam around, Hang out with friends",,Yes,,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
9q4zXRK,Me1Zl8p,2025-10-14 5:46:08,18,Female,Undergraduate (UG),1,INTMCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,4,4,4,5,4,4,4,4,4,3,4,4,4,4,Made me more calm,Breathing exercises ,Yes it made me more calm and helped my focus i felt less stressed after meditation ,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,No,,Music,,Maybe?,Not really ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
RGj7dkQ,vGX6VEQ,2025-10-14 5:46:28,18,Male,Undergraduate (UG),1,INTMCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,4,3,2,3,3,3,3,3,3,2,3,3,3,3,It helped to concentrate on what Iam doing ,Breathing ,Yes it helped to focus and helped to control mind,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,No,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
kdzV9zZ,ob9NY5V,2025-10-14 5:46:35,18,Prefer not to say,Postgraduate (PG),1,INTMCA,,None,1-2 days/week,5-15 mins,Mindfullness/Awareness,Maybe?,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Meditation had a positive influence on my stress levels during academic tasks. It helped me stay calm and focused, especially during exams and while completing assignments. By practicing mindfulness and deep breathing, I was able to reduce anxiety and clear my mind of unnecessary thoughts. This made it easier to concentrate on my studies and manage my time effectively. Meditation also improved my emotional balance, allowing me to handle academic pressure without feeling overwhelmed. Overall, it created a sense of inner peace and confidence that helped me perform better and stay relaxed throughout my academic activities.","The most effective meditation practices for me were mindfulness meditation and deep breathing exercises. Mindfulness meditation helped me stay present and aware of my thoughts without getting distracted or stressed about upcoming exams or deadlines. It taught me to focus on the task at hand instead of worrying about results. Deep breathing exercises were also very helpful because they instantly calmed my mind and reduced physical signs of stress like a fast heartbeat or tension. Practicing these regularly improved my concentration, patience, and overall mental clarity, which made studying and handling academic pressure much easier.","Yes, meditation helped improve my focus, time management, and emotional stability in several ways. Regular meditation practice trained my mind to stay attentive and avoid distractions, which made it easier to concentrate on studies for longer periods. It also made me more aware of how I was spending my time, helping me plan my study schedule more efficiently and complete tasks without feeling rushed. Emotionally, meditation helped me stay calm and balanced, even during stressful situations like exams or deadlines. Instead of reacting with frustration or anxiety, I learned to handle challenges with a clear and positive mindset. Overall, meditation brought a sense of control, clarity, and peace that improved both my academic performance and emotional well-being.",Yes,TRUE,3,,FALSE,"No symptoms, bro! All fine. ",,Yes,"Music, Just roam around",,,Maybe?,"Yes, I believe meditation is a very effective way to manage college stress. College life often comes with pressure from studies, exams, and deadlines, which can easily lead to anxiety and burnout. Meditation provides a simple yet powerful way to pause, breathe, and reset the mind. It helps in developing self-awareness, which allows students to understand their emotions better and respond calmly instead of reacting impulsively. Regular practice can also improve sleep, boost confidence, and create a positive attitude toward challenges. Overall, meditation acts as a mental break that refreshes both the mind and body, helping students maintain balance and perform their best academically and personally.",8,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
2EoMBRe,vGX6VJQ,2025-10-14 5:46:46,18,Male,Undergraduate (UG),1,INTMCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,2,2,4,3,3,4,4,2,2,4,4,5,4,It lowers my stress level and makes me fresh.,Breathing meditation was very effective making my mind relaxed.,Yes it helped me to increase my focus in various things.,Yes,TRUE,4,,FALSE,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,I thing meditation will help all students to cope up with studies in a very peaceful manner and it helps everyone to focus too.,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
obz4Dgb,rjD9Rkv,2025-10-14 5:46:55,21,Female,Undergraduate (UG),1,INTMCA,,None,0 days/week,Less than 5 mins,Mantra-based,Yes,5,5,5,4,2,5,3,5,3,5,5,2,5,3,Idk it didn't help me much I think i am beyond it ,None worked ,No ,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,"Other, Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Headaches., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Feel constantly tired., Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Dizziness?",,No,,"Music, Just roam around",,Yes,No just tired of this,10,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
ODEWlga,A7rRNyB,2025-10-14 5:47:05,18,Female,Undergraduate (UG),1,INTMCA,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Mindfullness/Awareness,Yes,4,3,2,4,4,3,4,3,3,2,3,4,2,4,It helped me a lot and also it reduced my overthinking,"Listening to music and doing the meditation  was most effective.
Because I like music",Emotional stability ,Yes,TRUE,4,,,Dizziness?,,Yes,"Music, Hang out with friends",,,Maybe?,Nothing more ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
